raw_phrase,canonical_phrase,category,status,note
본식 드레스,본식 드레스,,pending,
드레스 투어,드레스 투어,,pending,
스튜디오 촬영,스튜디오 촬영,,pending,
결혼 준비,결혼 준비,,pending,
계약 후기,계약 후기,,pending,
결혼식 비용,결혼식 비용,,pending,
선택한 이유,선택한 이유,,pending,
드레스 느낌,드레스 느낌,,pending,
예쁜 드레스,예쁜 드레스,,pending,
맘에 드는,맘에 드는,,pending,
마음 드는,마음 드는,,pending,
마음 들었어요,마음 들었어요,,pending,
샘플 사진,샘플 사진,,pending,
선택하게 되었습니다,선택하게 되었습니다,,pending,
결직웨딩 통해서,결직웨딩 통해서,,pending,
다양한 스타일,다양한 스타일,,pending,
드는 드레스,드는 드레스,,pending,
추천해 주신,추천해 주신,,pending,
모바일 결갤러,모바일 결갤러,,pending,
원하 드레스,원하 드레스,,pending,
축의금 만원,축의금 만원,,pending,
결혼 준비하면서,결혼 준비하면서,,pending,
